year,month,clt,scenario
1857,2,46.131554,historical
1857,3,60.640167,historical
1857,4,36.23481,historical
1857,5,41.147835,historical
1857,6,30.412067,historical
1857,7,13.580114,historical
1857,8,33.92458,historical
1857,9,12.402422,historical
1857,10,23.949091,historical
1857,11,22.538404,historical
1857,12,41.070232,historical
1858,1,42.966206,historical
1858,2,47.680847,historical
1858,3,55.43281,historical
1858,4,34.441483,historical
1858,5,34.622314,historical
1858,6,38.182945,historical
1858,7,24.90276,historical
1858,8,35.47361,historical
1858,9,23.032284,historical
1858,10,24.445133,historical
1858,11,34.79868,historical
1858,12,65.4915,historical
1859,1,24.715872,historical
1859,2,40.028946,historical
1859,3,68.78573,historical
1859,4,54.215965,historical
1859,5,43.2173,historical
1859,6,37.10022,historical
1859,7,37.340397,historical
1859,8,24.586884,historical
1859,9,40.94764,historical
1859,10,41.586834,historical
1859,11,40.563965,historical
1859,12,39.75456,historical
